baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000003096	126.169034695143	3.42785643253154	0.634351338171466	5.40371908477788	6.52731432168535e-08	3.50592094239753e-05
ENSG00000288049	11.8213068384905	6.19153093061996	1.16183915923385	5.32907750734003	9.87128665897352e-08	4.83693046289703e-05
ENSG00000231628	196.986055091299	1.20839360990502	0.23056756828699	5.24095222447293	1.59750075621404e-07	7.43636602017635e-05
ENSG00000290853	12.0590986140722	6.20096854925185	1.2034073790628	5.15284238499611	2.56567597723904e-07	0.000111967703194197
ENSG00000300023	8.84049339434458	5.75750771308334	1.11980218130195	5.14154000520818	2.72495614167318e-07	0.000117089269287588
ENSG00000101311	6412.68601941624	1.16453069966165	0.227128499492087	5.1271888039846	2.94100544916685e-07	0.00012260042118691
ENSG00000284377	45.014683954301	5.58622581964271	1.09698217451308	5.09235787912625	3.53637781030843e-07	0.000135302783893034
ENSG00000042832	177.878409338274	2.45301989204621	0.490748388463592	4.99852867520561	5.77694168501163e-07	0.000209545430210877
ENSG00000277519	12.9311374055594	6.3174111884211	1.30351998853773	4.84642448445141	1.25706404766266e-06	0.00039897498694566
ENSG00000091138	2758.71964724951	3.60200757602701	0.746469020918738	4.82539459118308	1.39726349919271e-06	0.000424190973178831
ENSG00000228956	100.058316916508	3.98901543299095	0.829793204215079	4.8072404217437	1.53027918890596e-06	0.000454688273895143
ENSG00000080546	1394.47559698985	1.77128646675936	0.36991563311766	4.78835255442143	1.68156043860717e-06	0.000489228990107272
ENSG00000188467	91.3308519524847	2.36235423906427	0.494188216063338	4.78027229763305	1.75057929247383e-06	0.000504058552977259
ENSG00000075223	2240.65774192122	1.70051927690527	0.360472077132015	4.71747850883467	2.38785615274881e-06	0.000653851199473276
ENSG00000291031	7.77572908093627	5.56167665307886	1.18082382153404	4.7099969967184	2.47720441724453e-06	0.000671731256054755
ENSG00000104177	361.903242509691	2.43154470444755	0.518162961245089	4.69262546015412	2.69721022097986e-06	0.000705226201770508
ENSG00000229921	495.90724502921	1.20806769071727	0.257712401726524	4.68765834559732	2.76348864108772e-06	0.000712457705802222
ENSG00000152763	79.1955853873892	1.80914957777621	0.387114808446535	4.67341868175026	2.96227024369727e-06	0.000738716142022008
ENSG00000303938	30.9387611385928	1.78531268186296	0.38195906338774	4.67409430222272	2.95253652573309e-06	0.000738716142022008
ENSG00000112115	14.5553886766097	5.74579345450324	1.23521892307096	4.65163975971016	3.29305976784546e-06	0.000799783994051511
ENSG00000286013	97.6817844574485	2.67607701283447	0.575528819522557	4.64977064928647	3.32304351181295e-06	0.000800108666249445
ENSG00000271730	295.751655481426	2.06297398234879	0.445306915591239	4.63270142483584	3.609248896931e-06	0.000834933625700092
ENSG00000285972	25.7145263482562	3.66868739045345	0.791876959568743	4.63290078859148	3.60577362758056e-06	0.000834933625700092
ENSG00000162897	52.040764285235	2.41320074141002	0.521415205407175	4.62817485256407	3.68902491697521e-06	0.000844544802714079
ENSG00000241743	54.0288839199929	3.47196471237077	0.754846629601128	4.59956311152294	4.23377915728133e-06	0.00095919353075978
ENSG00000118492	16.5107476731787	5.23263364704834	1.14748688689549	4.56008143256882	5.11337879587588e-06	0.0011071059672001
ENSG00000267793	6.29257458746037	5.25146785518921	1.16018605206323	4.52640147315181	5.99965516521179e-06	0.00127367668509865
ENSG00000237269	6.51934530546716	5.31420847886627	1.17720429117105	4.51426189890952	6.35376600420781e-06	0.00131452358887055
ENSG00000256643	54.1457707542432	2.40851157321182	0.538338190074499	4.47397494292299	7.67787432775374e-06	0.00153001224227594
ENSG00000135919	1718.11843534522	1.246562081927	0.278918428401103	4.46927113806322	7.84865876065926e-06	0.00154375379707897
ENSG00000204889	22.1649766555841	4.26468206765923	0.958267647324767	4.45040806664517	8.57072777466463e-06	0.00166760437814134
ENSG00000287338	58.4012128055393	5.54269788728221	1.26050352288301	4.39720935853081	1.09651568049045e-05	0.00204171219707323
ENSG00000177406	209.248436150775	1.16998125006019	0.265824786170137	4.40132489869235	1.07591876105606e-05	0.00204171219707323
ENSG00000211949	1922.44048331766	3.12749084700563	0.711114449811209	4.39801335472221	1.09246258447469e-05	0.00204171219707323
ENSG00000211965	394.651171823368	3.5299560844315	0.804890413478903	4.38563564097415	1.15647565061988e-05	0.00212502400801402
ENSG00000251039	135.584367140809	5.54223406679729	1.27164859976567	4.35830627094511	1.31072873816267e-05	0.00233176137941932
ENSG00000231252	28.6802143087942	2.81153425096883	0.647421664164644	4.34266322335151	1.40765831398138e-05	0.00247466866941413
ENSG00000104267	702.397727116332	2.17112774709247	0.502360262863861	4.32185407085203	1.54723512886292e-05	0.00266754797216922
ENSG00000298671	396.127873665949	1.33050659359874	0.312323926530064	4.2600213450847	2.04407382011398e-05	0.00338388909999978
ENSG00000267328	77.7809954663746	1.52850842410999	0.359678660249412	4.24965001551683	2.14104779675145e-05	0.0035042542550407
ENSG00000085377	2371.98656743564	1.06160744051831	0.250818021471992	4.23258039549145	2.31025288441362e-05	0.00366621381032229
