baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Tb927.11.5810	53.6056648672383	2.6962611719337	0.373748440770188	7.21410681039226	5.42891317110388e-13	3.47143972045828e-11
Tb927.10.16120	198.11864628574	2.24708524379169	0.311737552670145	7.20825971893535	5.66714632199417e-13	3.59478425496734e-11
Tb927.4.1860	1474.17951187671	2.07765530646088	0.288566766425866	7.19991193786566	6.02514600150921e-13	3.79153830523544e-11
Tb927.8.7460	48.318968885693	2.57801410922069	0.359648717763242	7.16814486439462	7.60208386826932e-13	4.70913460871152e-11
Tb927.10.7500	271.164818845351	2.43796936926376	0.341327497049588	7.14261051435177	9.15748361676781e-13	5.6286579532831e-11
Tb927.11.2060	107.738182262874	2.59631517425316	0.363822239146332	7.13621899624698	9.5933127211876e-13	5.85118281279203e-11
Tb927.10.2010	830.344023923808	3.10442576300218	0.435123505267734	7.13458529686188	9.70793996609744e-13	5.87589740390738e-11
Tb11.v5.0813	101.486982216561	9.58754978708759	1.34751795821736	7.11496995540677	1.11937217528552e-12	6.67330975777358e-11
Tb927.11.11690	411.923064584292	1.99465876730457	0.282152794663648	7.06942764711009	1.55574021318285e-12	9.07019422818148e-11
Tb927.10.6510	47.0349758314669	3.72153311174534	0.528167824355137	7.04611856333567	1.83977509250923e-12	1.04946595025221e-10
Tb927.3.3270	1008.77606810701	2.64373823754879	0.377270549178847	7.00753939925354	2.4254573123696e-12	1.37367507355561e-10
Tb927.7.6600	348.961894214457	2.25899548147768	0.322708944220216	7.00010186248867	2.55776478037998e-12	1.43833453500942e-10
Tb927.10.2240	152.868080872899	2.10430894370419	0.302144919849805	6.96456834273511	3.29412198741569e-12	1.80131677504959e-10
Tb927.10.12710	1026.40349648619	1.67019932762285	0.239932176734123	6.96113105943957	3.3755155818432e-12	1.83318240057772e-10
Tb927.3.3680	37.6677502565719	3.03856475634404	0.437902130953849	6.93891292496193	3.95128569863157e-12	2.13127512275168e-10
Tb927.1.110	34.2736301446383	2.90901193478805	0.420494266800965	6.91807752081669	4.57813768643382e-12	2.42000358104892e-10
Tb927.6.2230	134.474121320125	2.25460993764463	0.326215470897634	6.91141327981996	4.79848841179275e-12	2.51968308722548e-10
Tb927.10.1590	456.748780967079	2.52264250480114	0.366623135007345	6.88075100539033	5.95378385718022e-12	3.08546092833869e-10
Tb927.1.3950	439.895072874217	2.11391560335543	0.30981781286341	6.82309252595298	8.91012258444717e-12	4.4432932057913e-10
Tb11.v5.0783	518.677833683626	6.7789387708429	0.994215022516646	6.81838296275533	9.20709382737194e-12	4.56269043482701e-10
Tb11.v5.0865	14.5164903770285	5.98049488955405	0.879483106368492	6.80001110453201	1.04611087161697e-11	5.15193360313726e-10
Tb927.2.2390	122.924699951428	2.12649781127883	0.313692371392391	6.77892739896707	1.21071344469406e-11	5.85350420913364e-10
Tb927.2.6070	207.338680745907	2.30532691945273	0.340647202555967	6.76749112323613	1.310346874493e-11	6.25887973967167e-10
Tb927.1.2470	11.1676652910332	7.02209438060506	1.03787224173045	6.76585623765898	1.32523086433384e-11	6.29206917563055e-10
