baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Tb927.11.2820	76.5938477904733	-4.17862696977615	0.451818086243906	-9.24847211078751	2.27724464585946e-20	4.75165073605781e-18
Tb927.8.1360	666.839887536973	-2.46740725538829	0.267831784926416	-9.21252589966568	3.1853924905524e-20	6.4761479634846e-18
Tb927.11.1280	856.973594258931	-3.61301428771407	0.393729310636394	-9.17639147025725	4.45779454382891e-20	8.62093974098034e-18
Tb927.10.12660	103.174789782864	-4.89934950507398	0.535125122455601	-9.15552139019688	5.40959415265267e-20	1.02125409610436e-17
Tb927.5.1490	209.771041871251	-3.48259922161757	0.38251749867946	-9.10441805574992	8.67301440083114e-20	1.5992635159114e-17
Tb927.11.2860	259.486027619261	-3.73090864451008	0.412627456706425	-9.04183321752273	1.54066022668129e-19	2.77633975848999e-17
Tb927.8.6490	151.408195866596	-3.16772316835262	0.352852168979952	-8.97747965531876	2.77039872955465e-19	4.8814425614753e-17
Tb927.8.2780	106.042241127493	-4.32602007782271	0.485356601818647	-8.91307558527682	4.96361205481095e-19	8.55575651795565e-17
Tb11.v5.0884	194.053650706439	-3.72890929250341	0.419683997611388	-8.88504044406345	6.38975198391645e-19	1.07796475490369e-16
Tb927.11.12180	118.87684409567	-3.94665857988264	0.445647025621412	-8.85601912046738	8.29226631653805e-19	1.36977874216313e-16
Tb927.7.5450	229.206839205024	-2.53763753272145	0.286751971023203	-8.84959054916526	8.78409686323887e-19	1.42141028629839e-16
Tb927.2.4200	140.794770161925	-4.07243058221314	0.468858744260917	-8.68583690090433	3.75964021794004e-18	5.96203745760932e-16
Tb927.5.3530	129.397854796281	-3.48104706251563	0.401178426633215	-8.67705447605798	4.06150592425417e-18	6.31444715164927e-16
Tb927.11.1420	253.359312099653	-3.20733441999652	0.371003627878985	-8.64502171672213	5.37950655611908e-18	8.20271297759004e-16
Tb927.11.14500	162.198772726629	-3.28613200765615	0.384131331378399	-8.55470965064045	1.18165778094458e-17	1.72568439407748e-15
Tb927.10.6150	89.3540863701829	-4.11728684325087	0.485398126823056	-8.48228828198953	2.20807650177643e-17	3.01859285906643e-15
Tb927.1.3550	410.237111697669	-2.72593442458445	0.322046878778713	-8.46440255816767	2.57469076594236e-17	3.46012255646728e-15
Tb927.9.12490	255.028384934481	-2.55712140947335	0.302985989077471	-8.43973484470107	3.18058351127023e-17	4.20314111014361e-15
Tb927.4.3970	245.675409810429	-3.00215995657658	0.356575677812106	-8.41941877527199	3.78356669697401e-17	4.91801644923064e-15
Tb927.11.11400	71.5036661839155	-5.115680903614	0.616098115024606	-8.3033542529337	1.01212515063156e-16	1.29437747086414e-14
Tb927.7.6220	167.75061959797	-3.59613206253187	0.437377202533025	-8.22203818970272	2.00073452441402e-16	2.47872250688731e-14
Tb927.1.40	98.6062752981511	-7.77167499471325	0.956653967300528	-8.1238099253832	4.51773084134627e-16	5.5109365909284e-14
Tb927.3.1660	287.14773203438	-3.14097339969956	0.38689753116087	-8.118359893058	4.72525795683657e-16	5.67675308178139e-14
Tb927.11.150	109.845955022214	-4.63051297068753	0.572063316608579	-8.09440639917112	5.75442706187636e-16	6.80997793636085e-14
Tb11.v5.0287	254.081274143996	-3.05357855779994	0.377476607507633	-8.08945109992861	5.99342100732718e-16	6.98850517163194e-14
Tb927.9.10950	217.967806503103	-2.89188210335707	0.358283630652069	-8.07148821757194	6.94464250841296e-16	7.98030006510237e-14
Tb927.6.1300	71.4082912174406	-6.95185671143589	0.864146030391805	-8.04477075279037	8.64070210630036e-16	9.64959535223317e-14
Tb927.8.7110	92.267128476568	-3.26205810142456	0.405710816736208	-8.0403528002201	8.95801817219399e-16	9.72988028593509e-14
Tb11.v5.0576	212.463605040134	-3.6240006705792	0.452412336705616	-8.01039312271746	1.14342346833645e-15	1.22516279465402e-13
Tb927.3.1630	466.271498073554	-3.20164744148386	0.40077934181862	-7.98855406807076	1.36530585977644e-15	1.4098920202089e-13
Tb927.5.3990	120.736926166839	-2.7732403842451	0.347058009073357	-7.99071138467496	1.34162311268465e-15	1.4098920202089e-13
Tb927.9.17380	143.863328859711	-9.96155888628574	1.24784557398645	-7.98300614591429	1.42811791757241e-15	1.45173679082457e-13
Tb927.10.13230	73.60330084887	-3.41829653043497	0.428332692398612	-7.98047076746096	1.45776223225987e-15	1.46311351134032e-13
Tb927.8.910	1092.5653374423	-4.12953892260718	0.5217485340399	-7.91480694853545	2.47637041236163e-15	2.39452939019699e-13
Tb927.11.7750	105.435464111039	-3.61523748178538	0.459078664229374	-7.87498475420122	3.4078441056761e-15	3.21676141832212e-13
Tb927.1.480	201.433722687491	-3.90272245504981	0.501439673065451	-7.78303485879229	7.08051135234018e-15	6.52806680380294e-13
Tb927.10.3400	85.4914749949739	-5.87951434577668	0.756109971116004	-7.77600424591495	7.48511958639815e-15	6.82178312650011e-13
Tb927.11.7820	221.00093929856	-4.2495256157432	0.548514185077156	-7.74733950617055	9.38378221564284e-15	8.45500104407183e-13
Tb927.7.960	329.494822015897	-3.32319889062911	0.431236656490458	-7.70620688341842	1.29612450285434e-14	1.12933749265188e-12
Tb927.3.1570	159.595911352757	-2.22121876459497	0.288922068930741	-7.68795119325905	1.49509818594275e-14	1.28854712134131e-12
Tb927.8.6340	399.622974512281	-3.96939750961853	0.516637278454156	-7.68314187759634	1.55233503676567e-14	1.32349080715215e-12
Tb927.7.5600	214.183826832473	-3.43502794001607	0.448584506471618	-7.657482348275	1.89613399166789e-14	1.59940919361007e-12
Tb11.v5.0476	54.7381139308356	-5.15107117867615	0.674086276406347	-7.6415606710424	2.14604358771139e-14	1.79115574810143e-12
Tb927.9.13430	86.8645802700741	-3.29598711428611	0.43337091782691	-7.60546446174439	2.83882507209859e-14	2.32051999965667e-12
Tb927.7.6340	206.214522132042	-3.35661541229082	0.442543043776126	-7.58483374554829	3.32913667555801e-14	2.69354333678566e-12
Tb11.v5.0510	50.4655745321019	-4.81180347723901	0.63533910871914	-7.57359874625022	3.63024533223612e-14	2.9074964888182e-12
Tb927.2.5760	273.246632321094	-2.96510362828757	0.392644817275354	-7.55161789441932	4.29884155207713e-14	3.34171712415878e-12
Tb927.4.350	186.67469336388	-2.58446424132325	0.34541228027968	-7.48225928513778	7.30556269434457e-14	5.4646987361753e-12
Tb927.6.920	105.718239798801	-3.4141560188345	0.457606164731916	-7.46090477350681	8.59303411373465e-14	6.36767920446748e-12
Tb927.11.18700	564.565879369149	-10.3988854578915	1.39491682358169	-7.4548426702537	8.99751325478774e-14	6.60567431455667e-12
Tb927.7.2670	65.5325048990651	-4.85061468317968	0.651625774528146	-7.44386559400922	9.77809865496713e-14	7.11289396653526e-12
Tb927.11.6120	250.642376051935	-2.59968390191815	0.349661154955498	-7.43486619853159	1.04673860239748e-13	7.54508216219056e-12
Tb927.3.1060	304.534878784868	-2.51179258755	0.338211927682485	-7.42668244955597	1.1135526247644e-13	7.95437726284411e-12
Tb11.v5.0903	168.558540714802	-2.69465368117858	0.362907426672508	-7.42518196964392	1.12624968314531e-13	7.97324440862426e-12
Tb927.4.1880	166.18299694513	-2.45532216243664	0.331148269463173	-7.41457041710344	1.2201966430603e-13	8.56189308214612e-12
Tb927.9.4080	96.3801862140245	-4.11418067967717	0.559153935916526	-7.35786769153917	1.86871123057721e-13	1.27732856441782e-11
